 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.6888860E+05 0.2299228E-06 0.2380472E-06 0.2450666E-06 0.2513620E-06 0.2571335E-06 0.2625112E-06 0.2675724E-06 0.2723908E-06 0.2769917E-06 0.2814033E-06 0.2856807E-06 0.2897948E-06 0.2937753E-06
 0.6356473E+05 0.2299414E-06 0.2379746E-06 0.2449104E-06 0.2511271E-06 0.2568234E-06 0.2621282E-06 0.2671185E-06 0.2718674E-06 0.2763998E-06 0.2807442E-06 0.2849546E-06 0.2890029E-06 0.2929183E-06
 0.5865231E+05 0.2300041E-06 0.2379496E-06 0.2448051E-06 0.2509462E-06 0.2565701E-06 0.2618051E-06 0.2667273E-06 0.2714094E-06 0.2758763E-06 0.2801561E-06 0.2843025E-06 0.2882877E-06 0.2921407E-06
 0.5411953E+05 0.2301104E-06 0.2379717E-06 0.2447500E-06 0.2508184E-06 0.2563729E-06 0.2615407E-06 0.2663977E-06 0.2710157E-06 0.2754197E-06 0.2796377E-06 0.2837226E-06 0.2876473E-06 0.2914406E-06
 0.4993705E+05 0.2302602E-06 0.2380404E-06 0.2447445E-06 0.2507432E-06 0.2562309E-06 0.2613343E-06 0.2661286E-06 0.2706851E-06 0.2750288E-06 0.2791874E-06 0.2832134E-06 0.2870802E-06 0.2908162E-06
 0.4607781E+05 0.2304529E-06 0.2381553E-06 0.2447882E-06 0.2507197E-06 0.2561435E-06 0.2611850E-06 0.2659191E-06 0.2704166E-06 0.2747024E-06 0.2788040E-06 0.2827735E-06 0.2865847E-06 0.2902659E-06
 0.4251681E+05 0.2306885E-06 0.2383161E-06 0.2448805E-06 0.2507476E-06 0.2561098E-06 0.2610919E-06 0.2657682E-06 0.2702091E-06 0.2744393E-06 0.2784864E-06 0.2824017E-06 0.2861596E-06 0.2897882E-06
 0.3923102E+05 0.2309666E-06 0.2385224E-06 0.2450210E-06 0.2508262E-06 0.2561294E-06 0.2610543E-06 0.2656752E-06 0.2700618E-06 0.2742387E-06 0.2782334E-06 0.2820967E-06 0.2858036E-06 0.2893817E-06
 0.3619916E+05 0.2312871E-06 0.2387739E-06 0.2452093E-06 0.2509552E-06 0.2562016E-06 0.2610718E-06 0.2656394E-06 0.2699738E-06 0.2740996E-06 0.2780440E-06 0.2818574E-06 0.2855153E-06 0.2890451E-06
 0.3340161E+05 0.2316498E-06 0.2390704E-06 0.2454452E-06 0.2511340E-06 0.2563259E-06 0.2611435E-06 0.2656601E-06 0.2699444E-06 0.2740211E-06 0.2779173E-06 0.2816829E-06 0.2852938E-06 0.2887773E-06
 0.3082026E+05 0.2320547E-06 0.2394118E-06 0.2457283E-06 0.2513624E-06 0.2565020E-06 0.2612691E-06 0.2657367E-06 0.2699730E-06 0.2740026E-06 0.2778525E-06 0.2815722E-06 0.2851381E-06 0.2885770E-06
 0.2843840E+05 0.2325018E-06 0.2397978E-06 0.2460585E-06 0.2516400E-06 0.2567295E-06 0.2614482E-06 0.2658686E-06 0.2700588E-06 0.2740432E-06 0.2778488E-06 0.2815245E-06 0.2850471E-06 0.2884435E-06
 0.2624062E+05 0.2329908E-06 0.2402284E-06 0.2464356E-06 0.2519666E-06 0.2570079E-06 0.2616802E-06 0.2660555E-06 0.2702014E-06 0.2741425E-06 0.2779055E-06 0.2815390E-06 0.2850202E-06 0.2883756E-06
 0.2421268E+05 0.2335220E-06 0.2407035E-06 0.2468593E-06 0.2523420E-06 0.2573372E-06 0.2619648E-06 0.2662968E-06 0.2704003E-06 0.2742998E-06 0.2780220E-06 0.2816150E-06 0.2850565E-06 0.2883727E-06
 0.2234147E+05 0.2340952E-06 0.2412231E-06 0.2473297E-06 0.2527661E-06 0.2577169E-06 0.2623018E-06 0.2665923E-06 0.2706551E-06 0.2745147E-06 0.2781977E-06 0.2817520E-06 0.2851553E-06 0.2884340E-06
 0.2061487E+05 0.2347107E-06 0.2417872E-06 0.2478466E-06 0.2532386E-06 0.2581470E-06 0.2626909E-06 0.2669416E-06 0.2709654E-06 0.2747868E-06 0.2784322E-06 0.2819493E-06 0.2853161E-06 0.2885587E-06
 0.1902171E+05 0.2353684E-06 0.2423958E-06 0.2484101E-06 0.2537596E-06 0.2586274E-06 0.2631320E-06 0.2673445E-06 0.2713309E-06 0.2751157E-06 0.2787251E-06 0.2822065E-06 0.2855382E-06 0.2887463E-06
 0.1755167E+05 0.2360686E-06 0.2430491E-06 0.2490202E-06 0.2543289E-06 0.2591578E-06 0.2636248E-06 0.2678007E-06 0.2717513E-06 0.2755010E-06 0.2790759E-06 0.2825231E-06 0.2858213E-06 0.2889963E-06
 0.1619524E+05 0.2368113E-06 0.2437470E-06 0.2496768E-06 0.2549466E-06 0.2597382E-06 0.2641692E-06 0.2683102E-06 0.2722265E-06 0.2759425E-06 0.2794844E-06 0.2828988E-06 0.2861649E-06 0.2893081E-06
 0.1494364E+05 0.2375968E-06 0.2444897E-06 0.2503801E-06 0.2556127E-06 0.2603687E-06 0.2647653E-06 0.2688727E-06 0.2727561E-06 0.2764399E-06 0.2799502E-06 0.2833332E-06 0.2865685E-06 0.2896814E-06
 0.1378876E+05 0.2384253E-06 0.2452774E-06 0.2511302E-06 0.2563272E-06 0.2610492E-06 0.2654128E-06 0.2694882E-06 0.2733402E-06 0.2769931E-06 0.2804731E-06 0.2838261E-06 0.2870319E-06 0.2901156E-06
 0.1272313E+05 0.2392969E-06 0.2461102E-06 0.2519271E-06 0.2570902E-06 0.2617797E-06 0.2661118E-06 0.2701565E-06 0.2739785E-06 0.2776019E-06 0.2810529E-06 0.2843772E-06 0.2875547E-06 0.2906106E-06
 0.1173986E+05 0.2402119E-06 0.2469882E-06 0.2527710E-06 0.2579018E-06 0.2625602E-06 0.2668622E-06 0.2708776E-06 0.2746709E-06 0.2782661E-06 0.2816894E-06 0.2849861E-06 0.2881366E-06 0.2911659E-06
 0.1083258E+05 0.2411705E-06 0.2479118E-06 0.2536620E-06 0.2587619E-06 0.2633907E-06 0.2676641E-06 0.2716515E-06 0.2754173E-06 0.2789856E-06 0.2823823E-06 0.2856528E-06 0.2887774E-06 0.2917812E-06
 0.9995412E+04 0.2421728E-06 0.2488808E-06 0.2546002E-06 0.2596708E-06 0.2642713E-06 0.2685173E-06 0.2724781E-06 0.2762176E-06 0.2797602E-06 0.2831316E-06 0.2863769E-06 0.2894768E-06 0.2924562E-06
 0.9222945E+04 0.2432191E-06 0.2498956E-06 0.2555856E-06 0.2606283E-06 0.2652020E-06 0.2694218E-06 0.2733572E-06 0.2770717E-06 0.2805896E-06 0.2839368E-06 0.2871581E-06 0.2902344E-06 0.2931904E-06
 0.8510175E+04 0.2443095E-06 0.2509561E-06 0.2566183E-06 0.2616344E-06 0.2661826E-06 0.2703776E-06 0.2742886E-06 0.2779793E-06 0.2814738E-06 0.2847979E-06 0.2879962E-06 0.2910499E-06 0.2939836E-06
 0.7852490E+04 0.2454440E-06 0.2520624E-06 0.2576982E-06 0.2626892E-06 0.2672130E-06 0.2713843E-06 0.2752723E-06 0.2789401E-06 0.2824122E-06 0.2857142E-06 0.2888906E-06 0.2919228E-06 0.2948352E-06
 0.7245632E+04 0.2466225E-06 0.2532144E-06 0.2588252E-06 0.2637922E-06 0.2682929E-06 0.2724417E-06 0.2763076E-06 0.2799538E-06 0.2834045E-06 0.2866855E-06 0.2898409E-06 0.2928524E-06 0.2957445E-06
 0.6685674E+04 0.2478449E-06 0.2544116E-06 0.2599988E-06 0.2649431E-06 0.2694219E-06 0.2735493E-06 0.2773942E-06 0.2810197E-06 0.2844500E-06 0.2877109E-06 0.2908463E-06 0.2938381E-06 0.2967107E-06
