 k(Mpc^-1)     CL=0.4515     CL=0.5763     CL=0.6827     CL=0.7699     CL=0.8385     CL=0.8904     CL=0.9281     CL=0.9545     CL=0.9722     CL=0.9836     CL=0.9907     CL=0.9949     CL=0.9973
 0.4222399E+05 0.7065698E-08 0.7308911E-08 0.7487578E-08 0.7619588E-08 0.7716114E-08 0.7785472E-08 0.7834079E-08 0.7867290E-08 0.7889196E-08 0.7903157E-08 0.7911796E-08 0.7916884E-08 0.7919786E-08
 0.4106255E+05 0.7127676E-08 0.7374125E-08 0.7555214E-08 0.7689040E-08 0.7786904E-08 0.7857232E-08 0.7906518E-08 0.7940199E-08 0.7962415E-08 0.7976574E-08 0.7985332E-08 0.7990492E-08 0.7993434E-08
 0.3993306E+05 0.7190414E-08 0.7440154E-08 0.7623707E-08 0.7759375E-08 0.7858605E-08 0.7929919E-08 0.7979899E-08 0.8014057E-08 0.8036588E-08 0.8050945E-08 0.8059830E-08 0.8065064E-08 0.8068048E-08
 0.3883461E+05 0.7253920E-08 0.7507008E-08 0.7693068E-08 0.7830615E-08 0.7931232E-08 0.8003550E-08 0.8054238E-08 0.8088881E-08 0.8111732E-08 0.8126294E-08 0.8135306E-08 0.8140614E-08 0.8143641E-08
 0.3776640E+05 0.7318206E-08 0.7574700E-08 0.7763311E-08 0.7902773E-08 0.8004800E-08 0.8078140E-08 0.8129551E-08 0.8164685E-08 0.8187863E-08 0.8202636E-08 0.8211774E-08 0.8217159E-08 0.8220229E-08
 0.3672758E+05 0.7383287E-08 0.7643246E-08 0.7834454E-08 0.7975859E-08 0.8079325E-08 0.8153706E-08 0.8205851E-08 0.8241488E-08 0.8264998E-08 0.8279983E-08 0.8289256E-08 0.8294718E-08 0.8297832E-08
 0.3571730E+05 0.7449172E-08 0.7712656E-08 0.7906507E-08 0.8049897E-08 0.8154826E-08 0.8230268E-08 0.8283160E-08 0.8319309E-08 0.8343159E-08 0.8358360E-08 0.8367764E-08 0.8373305E-08 0.8376464E-08
 0.3473484E+05 0.7515878E-08 0.7782949E-08 0.7979490E-08 0.8124897E-08 0.8231317E-08 0.8307839E-08 0.8361489E-08 0.8398163E-08 0.8422357E-08 0.8437776E-08 0.8447319E-08 0.8452941E-08 0.8456146E-08
 0.3377940E+05 0.7583415E-08 0.7854136E-08 0.8053415E-08 0.8200873E-08 0.8308815E-08 0.8386434E-08 0.8440862E-08 0.8478068E-08 0.8502611E-08 0.8518257E-08 0.8527939E-08 0.8533642E-08 0.8536894E-08
 0.3285024E+05 0.7651798E-08 0.7926233E-08 0.8128299E-08 0.8277849E-08 0.8387338E-08 0.8466076E-08 0.8521294E-08 0.8559042E-08 0.8583943E-08 0.8599818E-08 0.8609641E-08 0.8615428E-08 0.8618728E-08
