#  Computed using PBH limits in DarkSUSY 5.1.2
#  by adding the following code snippets to
#  test/dstest-ucmh.h, along with relevant
#  declarations.
#
#      call dspbh_init
#      do i = 0, 5263
#        k = 10.d0**(2.d0 + dble(i)/2000.d0*8.d0)
#        betashare = dspbh_limits(k)
#        log10PR = zeroin(0.d0, -10.d0, diff_PR, 1.d-5)
#        write(*,*) k, log10PR
#      enddo
#
#      double precision function diff_PR(logP)
#      implicit none
#      double precision, intent(IN) :: logP
#      double precision :: betashare, dsucmh_beta_generalised
#      common /adhoc/betashare
#      diff_PR =       dsucmh_beta_generalised(logP,1.d0/3.d0,5.d0) - betashare
#      end function diff_PR
#
#  Pat Scott Nov 3 2015
#
#  k (Mpc^-1)               log10(P_R max)
   575.43993733715661       -2.6107535815562448
   580.76441752131234       -2.6110024269172469
   586.13816451402852       -2.6112487973441985
   591.56163417547430       -2.6114939401933031
   597.03528658383664       -2.6117370046541728
   602.55958607435809       -2.6119365163101884
   608.13500127871760       -2.6119366253019165
   613.76200516479457       -2.6119367342936308
   619.44107507678120       -2.6121208462500616
   625.17269277568619       -2.6123661652426509
   630.95734448019300       -2.6125363654095235
   636.79552090791617       -2.6125364743575599
   642.68771731701941       -2.6125365833055945
   648.63443354823880       -2.6127482602664962
   654.63617406727474       -2.6129935597430736
   660.69344800759575       -2.6132388965613860
   666.80676921362192       -2.6134792962656888
   672.97665628431753       -2.6137247844900555
   679.20363261718433       -2.6137310415380961
   685.48822645266137       -2.6137311505996550
   691.83097091893626       -2.6138617477274253
   698.23240407717117       -2.6141060660221660
   704.69306896714670       -2.6143500931687687
   711.21351365332885       -2.6145939852624673
   717.79429127136154       -2.6148377422730533
   724.43596007498991       -2.6149230936721293
   731.13908348341727       -2.6149232017040687
   737.90423012910071       -2.6149719941907792
   744.73197390598887       -2.6152150641598682
   751.62289401820533       -2.6154629027339737
   758.57757502918355       -2.6157054981380656
   765.59660691125612       -2.6159478380815009
   772.68058509570210       -2.6161143729411980
   779.83011052325855       -2.6161144804376999
   787.04578969509851       -2.6161145879341472
   794.32823472428129       -2.6163255932882059
   801.67806338767900       -2.6165684206716446
   809.09589917838218       -2.6167080430780461
   816.58237135859224       -2.6167081508718186
   824.13811501300211       -2.6167082586655654
   831.76377110267083       -2.6169464246044987
   839.45998651939726       -2.6171889266920254
   847.22741414059635       -2.6174313037868826
   855.06671288468317       -2.6176735573050474
